"KEY","dist_to_video_hall"
"uuid:216ebc23-e83f-47a3-977e-85d24594f7df",36
"uuid:2c97a024-73e6-4d6a-aacc-cfe56d74a3d6",18
"uuid:618579e7-2936-49c5-93db-320489d2526c",51
"uuid:f439a712-0f62-430c-91c2-44324bb57c25",148
"uuid:5131bd02-ebe1-487d-a212-bbed627f8245",1396
"uuid:498cf66d-a3bb-412e-bd62-a5d532817f40",40
"uuid:232a1b7d-f431-4498-bdb4-9f80686e5f29",107
"uuid:556b2dba-02ac-4b93-a7aa-92e8add602b2",623
"uuid:e566689b-6366-4b07-9f80-4a4dd62963d6",34
"uuid:18eb529b-9aa2-430a-a51a-eadcd969b8a1",370
"uuid:162381d7-36b3-4f57-beef-44a9f8dc62b4",353
"uuid:36539f32-3f7d-44c7-bab0-bcc945d9db97",444
"uuid:719a08ed-5fe9-4384-ba7d-d177bea1fc7a",135
"uuid:32114283-2441-47b3-936c-e13e4c2eabe8",407
"uuid:46c9d1f9-b1df-4a76-93a0-453c3f468d25",34
"uuid:c2b1f47f-74cc-4514-863c-38f86f7452f7",35
"uuid:c81744a9-9ab5-43ff-8579-a1e9a315b00d",514
"uuid:4e486feb-f3cf-4b14-9009-45df71bbfcba",42
"uuid:cc86c89a-f0b8-4634-b983-41143b8ef39b",30
"uuid:6d9d463a-62b1-41f2-941b-a2f397955796",32
"uuid:3361508c-e393-42ba-8f7e-c699a011fd82",74
"uuid:b50e1d74-9d9f-4cb7-884e-471b49646551",1728
"uuid:24de344a-beff-46ba-b02e-b74320910fd4",137
"uuid:d143bc31-e427-4192-aa11-7fcee77b1ded",827
"uuid:a1a92404-e76e-47b6-a577-8bce1668f1cf",444
"uuid:659ab981-7290-4c5a-8df0-d7a209076feb",35
"uuid:b8b60355-c4dd-417e-9799-41fea3db0faa",395
"uuid:ddd26cba-8b21-49c9-a381-2a39303ffecd",502
"uuid:f77eeaa5-1e34-42b2-a582-5385a13ee15a",62
"uuid:0e3b35d1-1569-4c93-9b55-6e2b75c8b4d2",14
"uuid:5b8a89cd-b6d7-4987-8785-1c40af33c092",100
"uuid:15fe056d-a52e-4e6a-862b-2bf42f452ace",485
